epoch,train_loss,train_accuracy,train_precision,train_recall,train_f1,val_loss,val_accuracy,val_precision,val_recall,val_f1
1,0.831566572189331,0.44,0.4493014705882353,0.44,0.4224071807425541,0.6585972905158997,0.6,0.0,0.0,0.0
1,0.7747251689434052,0.44,0.41035714285714286,0.44,0.4118918918918919,0.7060852646827698,0.6,0.5,0.625,0.5555555555555556
1,0.7322437912225723,0.54,0.5263414634146342,0.54,0.48672794117647056,0.8230201601982117,0.45,0.42105263157894735,1.0,0.5925925925925926
2,0.7818900942802429,0.44,0.20653061224489797,0.44,0.28111111111111114,0.7079494595527649,0.6,0.5,0.875,0.6363636363636364
3,0.7302497029304504,0.59,0.5991922845087402,0.59,0.5520412972730333,0.7048434615135193,0.5,0.4,0.5,0.4444444444444444
4,0.7257459610700607,0.56,0.5821875,0.56,0.5519999999999999,0.7942248582839966,0.4,0.3333333333333333,0.5,0.4
5,0.7088836133480072,0.5,0.5425,0.5,0.45259545259545264,0.6870121359825134,0.55,0.4,0.25,0.3076923076923077
1,0.7398249804973602,0.54,0.5348387096774193,0.54,0.5339573070607553,0.7757672667503357,0.45,0.36363636363636365,0.5,0.42105263157894735
2,0.750887081027031,0.51,0.6424175824175825,0.51,0.4154744525547446,0.6942098140716553,0.6,0.0,0.0,0.0
1,0.7528612315654755,0.45,0.44493592393551057,0.45,0.4463635438917709,0.7342944145202637,0.3,0.3333333333333333,0.75,0.46153846153846156
2,0.6887910664081573,0.52,0.5560914760914761,0.52,0.49200000000000005,0.7640745639801025,0.55,0.0,0.0,0.0
3,0.7046291381120682,0.5,0.4871323529411765,0.5,0.4838167297183691,0.7997665405273438,0.55,0.0,0.0,0.0
4,0.66523677110672,0.56,0.5608928571428572,0.56,0.5013744740532959,0.749160647392273,0.55,0.0,0.0,0.0
