epoch,train_loss,train_accuracy,train_precision,train_recall,train_f1,val_loss,val_accuracy,val_precision,val_recall,val_f1
1,0.6354567766952108,0.6365,0.6367311910716753,0.6365,0.6363201366067445,0.595144180750305,0.6944444444444444,0.7011269653730801,0.6826387045394213,0.6917593256814921
2,0.6171076530332504,0.65905,0.6593652517590565,0.65905,0.6588580130601023,0.5965114847164262,0.6954888888888889,0.7038903908720158,0.6796301212282099,0.6915475520540236
3,0.614294381284002,0.6614333333333333,0.6617708741590471,0.6614333333333333,0.6612331872357787,0.594474595548077,0.6965111111111111,0.7230562066729839,0.6414476594991594,0.6798115021217733
4,0.6134618092447456,0.6623,0.6626752100417992,0.6623,0.6620807204504127,0.5923785292966799,0.6956666666666667,0.6995921660018823,0.6906468454119105,0.695090726928643
5,0.6127086959159704,0.6621,0.6624788897123455,0.6621,0.6618782852231198,0.5923438274555586,0.6933777777777778,0.7061633570625703,0.6671091053889037,0.6860809027619784
6,0.6129340660343292,0.66275,0.6630458135606536,0.66275,0.6625752730644958,0.5973469435491345,0.6903333333333334,0.7204558172661139,0.6265817184319972,0.6702477578740623
7,0.6099203311558217,0.66655,0.6669705288306468,0.66655,0.666315242213296,0.5969858159395781,0.6885777777777777,0.6802686817800168,0.7169277055127865,0.6981172719831115
8,0.60973100519892,0.6683333333333333,0.668704520902162,0.6683333333333333,0.6681280076599889,0.616326776417819,0.6747111111111112,0.6442022162671109,0.7870542429873463,0.7084992830970208
9,0.6137857346900745,0.6623333333333333,0.6626287716455455,0.6623333333333333,0.6621581339016693,0.5896750525148078,0.6953111111111111,0.6870293239092936,0.7225024334129723,0.7043195100386017
10,0.609461679641626,0.6653333333333333,0.6657566594918967,0.6653333333333333,0.6650944469726002,0.5976277897134423,0.6903333333333334,0.6996544574982723,0.6718874435890629,0.6854898774460018
11,0.6100691994115996,0.66885,0.6691658570558573,0.66885,0.668674384542948,0.6029993644492193,0.6871111111111111,0.6732113821138211,0.7327227678966464,0.7017075547646286
