epoch,train_loss,train_accuracy,train_precision,train_recall,train_f1,val_loss,val_accuracy,val_precision,val_recall,val_f1
1,0.610375050479161,0.6706333333333333,0.6718408077674612,0.6706333333333333,0.6700143004885616,0.5757880672304467,0.7016666666666667,0.7370950240272826,0.6311388372710379,0.6800143010368251
2,0.5719828471573177,0.7112666666666667,0.7128916710441163,0.7112666666666667,0.7106839460473864,0.5655367472632364,0.7094222222222222,0.7164213013449655,0.6975931333510309,0.7068818650526788
3,0.545200053753375,0.7317833333333333,0.7328392685212219,0.7317833333333333,0.7314582398966056,0.5673856230621989,0.7136222222222223,0.7531134385910062,0.639456685249093,0.691646926518795
4,0.5121870544800626,0.75505,0.7558393978492478,0.75505,0.7548463060387988,0.566078085790981,0.7190666666666666,0.7292184479425573,0.7009556676400318,0.7148077964266378
5,0.47290440828307095,0.7780333333333334,0.7787069630264336,0.7780333333333334,0.7778880681346257,0.5882378411902622,0.7162222222222222,0.7169844632768362,0.7186974604017343,0.7178399399001282
6,0.42332914878310424,0.8063333333333333,0.80678603218145,0.8063333333333333,0.806254765568717,0.6241751369088888,0.7186222222222223,0.7300712896953986,0.6977701088399256,0.7135553343588815
7,0.37294645931547893,0.8325333333333333,0.8327068525414261,0.8325333333333333,0.8325080103046557,0.6458007387647574,0.7222,0.7293700894681866,0.7105565879125741,0.7198404338764259
8,0.3166902149473426,0.86015,0.8601828575669775,0.86015,0.8601456335903939,0.7241300324147398,0.7158666666666667,0.7115882048629074,0.730289354924343,0.720817502947727
9,0.2659945495601402,0.8851166666666667,0.8851226667992752,0.8851166666666667,0.8851158249762806,0.7708189353685487,0.7168666666666667,0.7045935515996514,0.7512609503583754,0.7271792895227083
10,0.2233877154206162,0.9044666666666666,0.9044710528679794,0.9044666666666666,0.9044661422895566,0.9846793050793085,0.7174222222222222,0.7100008496898632,0.7394035926024246,0.7244039878630256
11,0.18673683766490107,0.9227,0.9227001460684635,0.9227,0.9226999489818348,1.0677790008485317,0.7214666666666667,0.7226842431212952,0.7228121405185381,0.7227481861617413
12,0.15811493208032174,0.9348833333333333,0.9348841896202376,0.9348833333333333,0.9348833664885899,1.1889702384783463,0.7235111111111111,0.7244609402615765,0.7254225289797364,0.7249414157492152
