epoch,train_loss,train_accuracy,train_precision,train_recall,train_f1,val_loss,val_accuracy,val_precision,val_recall,val_f1
1,0.618593698371448,0.6483333333333333,0.64873162180098,0.6483333333333333,0.6480683219910478,0.5870604180646214,0.6946888888888889,0.6851163373574501,0.7256437483408548,0.7047979201134483
2,0.6015460614456551,0.6686166666666666,0.6694207315731162,0.6686166666666666,0.6681899683900794,0.5911143684590404,0.6969555555555556,0.739590571382757,0.6122024599592957,0.6698942170366247
3,0.6007439091261516,0.6702,0.6709707749665761,0.6702,0.669796034213645,0.5919729588045315,0.6939777777777778,0.68474122421656,0.7240952128130254,0.7038685676192934
4,0.5973630170069778,0.6751333333333334,0.6759712444683144,0.6751333333333334,0.6747146365772401,0.5887104591185396,0.6990222222222222,0.6813631267019061,0.7528094858862048,0.7153066801193929
5,0.5969046206870822,0.6755333333333333,0.6764398226798413,0.6755333333333333,0.6750834402340457,0.5856260264461691,0.6985111111111111,0.6866966979377609,0.7351561808689496,0.7101006431761362
6,0.5960491370798936,0.6745333333333333,0.6753568855427984,0.6745333333333333,0.6741193100268792,0.5837167715653777,0.7036888888888889,0.7364285714285714,0.6386160516768428,0.6840434102649163
7,0.596827077395372,0.67295,0.6737332443689414,0.67295,0.6725497848857755,0.5907458138059486,0.6960444444444445,0.6730530561588582,0.767808158570038,0.7173149258049849
8,0.5961577591103023,0.6758333333333333,0.6766122772299796,0.6758333333333333,0.6754453107333628,0.5914430761371147,0.6934222222222223,0.6709504581456748,0.7645783558977082,0.7147111129492535
9,0.595236635411472,0.6747833333333333,0.6756514482694121,0.6747833333333333,0.6743488358497381,0.593852637081661,0.6954666666666667,0.6795399515738498,0.745022564374834,0.7107762441433456
10,0.597949416271405,0.6730333333333334,0.6736904530011398,0.6730333333333334,0.6726951758799368,0.6002501317045905,0.6799777777777778,0.6476752980156301,0.7956817980709672,0.7140900156842502
